Title,Author,Genre
The Great Gatsby,F. Scott Fitzgerald,Fiction
1984,George Orwell,Dystopian
To Kill a Mockingbird,Harper Lee,Fiction
Pride and Prejudice,Jane Austen,Romance
The Catcher in the Rye,J.D. Salinger,Fiction
Moby Dick,Herman Melville,Adventure
War and Peace,Leo Tolstoy,Historical
The Hobbit,J.R.R. Tolkien,Fantasy
Brave New World,Aldous Huxley,Dystopian
The Odyssey,Homer,Epic Poetry
Crime and Punishment,Fyodor Dostoevsky,Fiction
The Divine Comedy,Dante Alighieri,Classic
The Picture of Dorian Gray,Oscar Wilde,Fiction
The Road,Cormac McCarthy,Fiction
Frankenstein,Mary Shelley,Fiction
The Alchemist,Paulo Coelho,Fiction
Jane Eyre,Charlotte Brontë,Fiction
Animal Farm,George Orwell,Fiction
Wuthering Heights,Emily Brontë,Fiction
A Tale of Two Cities,Charles Dickens,Historical
Les Misérables,Victor Hugo,Fiction
The Shining,Stephen King,Horror
Dune,Frank Herbert,Science Fiction
Don Quixote,Miguel de Cervantes,Classic
Heart of Darkness,Joseph Conrad,Fiction
Dracula,Bram Stoker,Fiction
The Old Man and the Sea,Ernest Hemingway,Fiction
Ulysses,James Joyce,Fiction
The Brothers Karamazov,Fyodor Dostoevsky,Fiction
The Scarlet Letter,Nathaniel Hawthorne,Classic
Madame Bovary,Gustave Flaubert,Fiction
The Grapes of Wrath,John Steinbeck,Fiction
Fahrenheit 451,Ray Bradbury,Dystopian
Lolita,Vladimir Nabokov,Fiction
Slaughterhouse-Five,Kurt Vonnegut,Science Fiction
The Handmaid's Tale,Margaret Atwood,Dystopian
The Metamorphosis,Franz Kafka,Fiction
The Secret Garden,Frances Hodgson Burnett,Fiction
The Jungle Book,Rudyard Kipling,Fiction
